;Asunción;Augusto Weberbauer;Cachachi;Celendín;Cospán;Granja Porcón;Hacienda Llagadén;Jesús Túnel;Llapa;Magdalena;Matara;Namora;Quilcate;San Juan;Sayapullo
1/05/1975;9;66.8;15.6;104.3;;61.9;0;;45;5.7;62.8;67.8;61.5;35.3;
1/06/1975;13;10;0;25.6;8.1;32.5;18.1;;23.5;4.7;22.1;0;;37.3;
1/07/1975;0;7.2;0;42.9;7.3;3;0;;9.7;0;3.8;23.7;25.5;11.5;
1/08/1975;7;19.3;0;48.7;44.8;53.5;20.4;;41.1;5.4;13.9;17.6;44;52;
1/09/1975;29;45.1;28.5;11.7;70.7;16;40;;77.3;25.3;89.4;38.7;73.5;69.1;
1/10/1975;129;80.2;109.5;110.8;159.5;117;76.5;;113.8;49.1;60.1;44.3;52.5;140.4;
1/11/1975;0;65.1;0;52.1;22.3;91;12.6;;63.8;13.8;34.5;53.4;31.7;62.4;
1/12/1975;26;0.9;0;33.8;15.5;20;0;;4.3;2.5;0;7.2;13.2;13.1;
1/01/1976;122;130.4;52.3;111.8;269.4;189;179.9;;225.4;76;76.2;90.1;36;283.7;
1/02/1976;161;62.9;182.1;87.2;218.6;135;16.4;;210.3;47.1;52;170.6;28;163.1;
1/03/1976;43;81.3;210.3;212.7;159;185;0;;106.3;61.7;61.4;56.5;11;179.7;
1/04/1976;58;17.2;135.3;82.4;69.7;61;0;;86.5;22;138;59.1;3;98.1;
1/05/1976;9;43;0;46.8;67.7;58;10.7;;49.4;14.8;11.8;43.9;1;49.2;
1/06/1976;0;23;0;21;25;30;9.7;;39.7;6.6;15.4;8;0;4.5;
1/07/1976;0;0.1;0;0;9.7;0;0;;0;0;0.5;1.1;2.5;0;
1/08/1976;0;4.4;0;19.2;4.3;12;0;;0;0;7.3;6.3;3;0;
1/09/1976;0;12.3;56.4;13.9;39.3;27;2.1;;0;0;0;5;1.5;0;
1/10/1976;0;32.2;96.8;55;25.5;62;8.6;;67.5;9.2;31.9;53.9;5;19;
1/11/1976;0;71.6;78.6;43.6;12.4;26;14.6;;53.5;18.4;36.6;22.3;6.5;39.3;
1/12/1976;18;44.4;44.3;52.1;97.7;79;41.5;;84.8;45.7;114.8;106.1;9;76.9;
1/01/1977;136;129.9;110.9;144.1;372.3;197;161.3;;171.2;132.6;277.3;133;11;272;
1/02/1977;138;146.4;419;123.5;351;236;202.9;;232.8;166.1;157;168;16.5;423.4;
1/03/1977;69;141.9;83.6;161;174.7;175;72.8;;143.4;40;104.2;114.1;31;194.4;
1/04/1977;65;42.6;0;78;81.2;100.5;62.3;;83;47.9;77.1;30.1;16.9;75.7;
1/05/1977;0;25.5;0;8.2;36.4;29.5;0;;44.3;0.2;25.8;18.1;27.5;4.8;
1/06/1977;0;8;0;0;1.3;13.5;0;;4.9;0.2;5.7;15.5;0;1.6;
1/07/1977;0;7.5;0;1.7;0;6.5;0;;0;0;0.6;2.9;1.3;0;
1/08/1977;0;0.1;0;0.8;6.7;2;0;;0;0;0;0;1;0;
1/09/1977;4;16.1;10.9;44.6;11;62.5;17.9;;40.3;6.5;27.2;28.2;22.3;16.6;
1/10/1977;0;53.4;25;111.1;16.7;96.5;7.1;;47.9;5.4;77.4;57.4;67.9;19.1;
1/11/1977;9;54.8;23.3;136.3;61.5;149.5;14.6;;74;17.3;48.5;79.5;104.9;56.8;
1/12/1977;4;68.2;90.5;56.7;75.5;85;84.9;;102.4;49.6;81.3;103.7;100.8;74.7;
1/01/1978;6;12.7;0;54;56.6;40;0;;42.4;0;27.4;23.6;114;16.3;
1/02/1978;22;34.4;10.2;50.9;122;105.5;55.8;;133.7;66;52.7;73.9;6;131.1;
1/03/1978;69;48.8;3.1;88.4;62.9;51.5;51.1;;89.2;43.3;32.5;40.3;81.4;115.2;
1/04/1978;31;37;27.4;119.9;57.1;88.5;14.4;;68;10.1;38;79.5;30.9;61.1;
1/05/1978;0;65.6;59.2;93.9;65.5;88.2;45.5;;66.4;27.8;42.5;134.2;32;58.5;
1/06/1978;0;3.9;0;2.5;0;0;0;;0;0;15.9;4.1;12.5;0;
1/07/1978;0;4.4;21.7;49.6;11.8;25.8;0;;23.3;0;0;24.3;8;5.3;
1/08/1978;0;3.8;0;2.4;0;0;0;;0;0;0;4;0;0;
1/09/1978;1;25;31.3;17.8;28.6;66.9;2.2;;76.8;10.8;7.2;24.7;12.5;31.1;
1/10/1978;24;24.4;23.9;98.5;22.6;70.4;0;;48.1;0.4;43.6;46.3;18.7;22.7;
1/11/1978;14;54;51.5;72.1;62.6;191;1;;77.3;7.4;76.7;47;35.7;32.6;
1/12/1978;4;44.8;26.2;112.5;74.2;189.5;40.6;;95.9;9;35.8;101.9;56;62.4;
1/01/1979;36;84.1;36.6;53;68.3;108.7;34.5;;77.7;24.4;95.4;69.3;52.7;99.5;
1/02/1979;33;81.6;47.6;98.2;195.5;144.8;94.5;;132.9;104.8;101.5;167.3;78.6;125.8;
1/03/1979;123;159.7;73.5;266.1;269.3;370.2;225.6;;249.9;121.5;213.9;115.8;106.8;282.7;
1/04/1979;;37.1;;197.8;50.9;61.5;13.7;;69.6;10;23.8;45;52.4;35;
1/05/1979;3;16.3;;2.8;9.3;54;6.8;;31.2;8.5;6.8;20.4;52.8;7.4;
1/06/1979;0;1.8;;0.5;0;10.8;0;;15.9;0;0;1.3;3.3;1;
1/07/1979;0;7.5;8.6;8.1;5.5;34;0;;7.3;2.5;26.8;18;16.2;0;
1/08/1979;0;15.7;13.8;37.6;0;40.4;5.4;;58.5;3.9;11;23.1;33;5.2;
1/09/1979;0;33.6;74.4;107.3;39.3;117.3;9.7;;58.6;3.5;58;35.4;22.4;23.8;
1/10/1979;0;24.4;0;18.6;2.4;48.2;0;;3;0;0;10.7;46.6;0;
1/11/1979;2;26.3;47.6;27;17.3;27.3;0;;25.4;4.3;0;37.1;23.8;19.6;
1/12/1979;0;46.6;42.3;59.2;32.7;108.1;2.2;;45;0;17.4;54.1;10.2;23;
1/01/1980;7;34.9;44;;24.8;70;0;;20.5;5.8;57.9;38.8;29.9;36.8;
1/02/1980;0;42.4;21.6;;43.4;37.3;5.6;;42.2;9.4;44.5;17.2;21.1;50.5;
1/03/1980;25;65;88.4;;151.9;166.9;71;;116;72.3;94;124.7;62.5;135.6;
1/04/1980;0;29.3;39.3;;24.5;69.6;23.4;;83.9;14;78.9;30.7;7.5;73.6;
1/05/1980;5;6.9;0;164;16.8;73.6;0;;16.1;6.7;9.5;30;14.5;2;
1/06/1980;0;15.1;0;18.4;10.2;11.8;12.2;;5.3;2.4;6.9;3.1;9.5;6.4;
1/07/1980;0;3.2;1.3;0;0;0;0;;4.8;0;1.3;0;0;0;
1/08/1980;0;6.7;3.6;22.4;7.4;5.7;0;;17.9;0;4.3;8.1;10.3;2.6;
1/09/1980;0;2.3;0;16.9;0;2.2;0;;2.8;0;0;4.5;16.7;3.3;
1/10/1980;60;130.4;195.4;147;180.9;247.2;77.1;;149.6;64.3;171.6;238.4;76.8;123.9;
1/11/1980;71;111;352.7;362.6;90.1;221.1;44.7;;119.3;23.4;122.5;149.6;143.1;73.1;
1/12/1980;34;106.7;228.1;;117.3;161;52.5;;108.7;45.3;119.3;22.8;55.4;79.5;78.1
1/01/1981;16;78.2;127.6;;145.8;94.1;61.2;;73;43.4;118;107.4;39.8;133.3;176.4
1/02/1981;47;186.5;153.8;;410.5;257.3;257.5;;232.2;151.4;231.5;156;130.6;311.5;335.3
1/03/1981;101;105.7;160.2;;227.3;190;119.3;;138.6;58.5;98;29;31.8;180.9;288.7
1/04/1981;6;33.7;13.3;;127.8;153.1;22.6;;66.3;1.2;62.6;19.9;49.7;26.3;13.8
1/05/1981;0;14.7;66.8;;30.9;65.6;0;;28.8;6.7;73.6;41;31.5;8.5;22.6
1/06/1981;0;6.6;35.2;;7.8;0;0;;16.1;0;33.5;19.4;40.7;0;2.2
1/07/1981;0;7.2;0;;0;0;0;;11.3;0;5.6;0;12.1;0;0
1/08/1981;0;12.7;15.8;;9.2;0;0.6;;36.6;0;13.8;23.6;36.7;4.8;0
1/09/1981;0;22;6.4;;19.7;6.5;0;;32.7;0;6.2;14.1;14.5;0;0
1/10/1981;25;111.9;187.6;97.1;134.8;160.6;38.9;;115.6;25.1;129.6;122.6;96.9;87.9;92.9
1/11/1981;24;45.6;72.7;140.2;42.7;60.3;20;;55.5;2.8;119.9;19.8;38.9;77.2;7.5
1/12/1981;41;111.3;161.2;198.7;113;90.8;74.4;;80.8;9.8;96.9;94.7;44.6;98.2;70.5
1/01/1982;17;71.7;139.3;81.7;118.5;56.8;55.7;;75;34.6;103.9;78.2;28.3;98.5;185.5
1/02/1982;45;102.9;102.3;60;95.9;19.2;49.4;;59.5;31.5;127;23.7;27.9;110.8;181.5
1/03/1982;11;74.6;46.1;124.9;113.9;72.2;25.5;;93.8;25.6;66.5;77;48.6;111.7;87.1
1/04/1982;0;88.7;14.1;;130.7;32.6;71.7;;104.3;33.6;60;60.1;82.4;55.7;205.7
1/05/1982;0;38.2;10.9;;38.5;34.2;0;;63.8;0;28.6;45.6;49.2;0;0
1/06/1982;0;7.8;9.5;;0;;0;;29.2;0;0;0;13.6;0;0
1/07/1982;0;2.1;0;;0;;0;;19.7;0;0;9.9;13.8;0;0
1/08/1982;0;6.6;0;;0;;0;;23.1;0;0;0;0;0;0
1/09/1982;29;43.9;18.9;;12;;0;;75.4;19.3;59.3;70.8;70.8;13.9;152.3
1/10/1982;87;124.8;93.3;;147.2;;42.5;;170;21.1;117.7;143;60;78.2;81.4
1/11/1982;137;67.3;7.3;;85.7;;35.3;;95.6;42.3;88.7;154.9;37.8;38;220.5
1/12/1982;55;87.4;58.8;;73.6;;93.5;;162.4;29.8;110;157.3;109.1;106.2;0
1/01/1983;73;116.6;149.6;;212.3;;;;284;16.5;115.3;176.9;54.5;123;710.8
1/02/1983;42;75;2;;84.4;;75.7;;122;45.7;33.8;41.1;31;72.4;583.6
1/03/1983;109;152.8;240.5;;423.9;;196;;262.3;182.2;230.2;138;38.2;276.9;3618.4
1/04/1983;70;105.7;112.3;;350.6;;77.8;;137.5;140.5;133.2;196.9;20.8;166.6;1793.6
1/05/1983;51;31.1;20.9;;77.3;;15;;53.4;33.7;91;65;6.8;9.2;710.1
